Term,Alias1,Alias2,Alias3,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
prices,price,,,"Service is friendly, <span class=""AS"">prices</span> are","The spicy Tuna roll is huge and probably the best that I've had at this <span class=""AS"">price</span> range.","Great food and the <span class=""AS"">prices</span> are very reasonable.","Incredible food at a very agreable <span class=""AS"">price</span> brings me back just about every other day to this authentic Thai restaurant.","Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the <span class=""AS"">price</span> you pay for them.","Really tasty spring rolls and noodles for a good <span class=""AS"">price</span> though.","All of the pizzas are terrific and the <span class=""AS"">price</span> is even better!","The <span class=""AS"">prices</span> are exceptionally reasonable for food of this caliber.","Food was just average...if they lowered the <span class=""AS"">prices</span> just a bit, it would be a bigger draw.","The ambience was so fun, and the <span class=""AS"">prices</span> were great, on top of the fact that the food was really tasty.","And their <span class=""AS"">prices</span> are very high - they actually think that they can get away with charging such prices for such terrible food and service!","The <span class=""AS"">price</span> very reasonable.","Try the Pad Thai, it's fabulous and their <span class=""AS"">prices</span> are so cheap!","And it all comes at a very reasonable <span class=""AS"">price</span> (congee, noodles, and rice dishes are no more than $3-6 each).","Yes, the <span class=""AS"">prices</span> are high, but I felt it was worth it.","They charge different <span class=""AS"">prices</span> all the time.","The <span class=""AS"">price</span> very reasonable.","Try the Pad Thai, it's fabulous and their <span class=""AS"">prices</span> are so cheap!","Not what I would expect for the <span class=""AS"">price</span> and prestige of this location.","I had the salmon dish and while it was fine, for the <span class=""AS"">price</span> paid, I expected it to have some type of flavor."
pizza,,,,"good - delivery time was a little slow, but for the way this <span class=""AS"">pizza</span> tastes, I'm willing to overlook it.","NO <span class=""AS"">PIZZA</span> 33 for me!","They make the best <span class=""AS"">pizza</span> in New Jersey.","Brava La <span class=""AS"">Pizza</span> Fresca!","I have eaten a lot of <span class=""AS"">pizza</span> here.","Went to Ottimo and was expecting outstanding <span class=""AS"">pizza</span> (as I love La Pizza Fresca).","first day the manager offerd us the margherita <span class=""AS"">pizza</span> adn we said yes.","It's a basic <span class=""AS"">pizza</span> joint, not much to look at, but the pizza is what I go for.","This place has many different styles of <span class=""AS"">pizza</span> and they are all amazing.","The plain <span class=""AS"">pizza</span> was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.","I've eaten at <span class=""AS"">Pizza</span> Gruppo a few times, but more often I order delivery.","Been to the one in Brooklyn for over 25 years, now I dont have to go over the bridge for the best <span class=""AS"">pizza</span> ....","I am reluctant to write because I would not want my jem of a <span class=""AS"">pizza</span> place to become overcrowded.","I live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of The <span class=""AS"">Pizza</span> Place at 3am.","The <span class=""AS"">pizza</span> is the best if you like thin crusted pizza.","Everything a NY <span class=""AS"">pizza</span> joint should be.","Awsome <span class=""AS"">Pizza</span> especially the Margheritta slice.","The <span class=""AS"">pizza</span> was great.","The <span class=""AS"">pizza</span> was delivered cold and the cheese wasn't even fully melted!","I have eaten a lot of <span class=""AS"">pizza</span> here."
times,time,,,"good - delivery <span class=""AS"">time</span> was a little slow, but for the way this pizza tastes, I'm willing to overlook it.","Save yourself the <span class=""AS"">time</span> and trouble and skip this one!","We'd walked by it dozens of <span class=""AS"">times</span> and finally settled on a Monday night.","We arrived on <span class=""AS"">time</span> for our reservation and seated promptly.","We also asked for Hooka six <span class=""AS"">times</span> and the waiter kept telling us one minute and never returning with the Hooka.","we have been there 3 <span class=""AS"">times</span> since last week we alked it by chance","The staff ignored my friends and I the entire <span class=""AS"">time</span> we were there.","The manager then told us we could order from whatever menu we wanted but by that <span class=""AS"">time</span> we were so annoyed with the waiter and the resturant that we let and went some place else.","I've had to wait only a few <span class=""AS"">times</span> during lunch but this place is definitely worth the wait.","Both <span class=""AS"">times</span> I was extremely dissappointed by the service, which was boarderline rude.","Try the <span class=""AS"">Times</span> Square cocktail -- ginger lemonade with vodka (also available without vodka.)","OK, I've been to Dumont a few <span class=""AS"">times</span> now.","This was my frist <span class=""AS"">time</span> at","I have eaten there 3-4 <span class=""AS"">times</span> and the food was always good.","I had to ask her three <span class=""AS"">times</span> before she finally came back with the dish Ive requested.","Overall, this is a great new restaurant that has been consistently good every <span class=""AS"">time</span> I have been.","I've been there three <span class=""AS"">times</span> and have always had wonderful experiences.","first it took us a long <span class=""AS"">time</span> to find the place.","i've been back to nha trang literally a hundred <span class=""AS"">times</span> for the beef cubes - they're that good.","This was my frist <span class=""AS"">time</span> at"
ways,way,,,"good - delivery time was a little slow, but for the <span class=""AS"">way</span> this pizza tastes, I'm willing to overlook it.","and there's no <span class=""AS"">way</span> out.","The cold appetizer dishes taste like the <span class=""AS"">way</span> I remember them to taste when I was growing up in Taiwan.","I would only go for the coffee which is <span class=""AS"">way</span> better than Starbucks or the like.","Upon entering, we were greeted by the owners, Steven and Frederick, who went out of their <span class=""AS"">way</span> to be more than gracious hosts.","I stumbled upon this resteraunt on my <span class=""AS"">way</span> home from the subway.","its a little out of the <span class=""AS"">way</span> if you don't live in the neighborhood, but definitely worth the trip from wherever you are.","Salads are a delicious <span class=""AS"">way</span> to begin the meal.","I have worked in restaurants and cook a lot, and there is no <span class=""AS"">way</span> a maggot should be able to get into well prepared food.","Wish NY had more of these kind of places: intimate, superb food, homey, top notch all the <span class=""AS"">way</span> around, certainly worth the wait.","but Kai was <span class=""AS"">way</span> to expensive for what we got.","The fajita we tried was tasteless and burned and the mole sauce was <span class=""AS"">way</span> too sweet.","The menu seemed to have a wide variety of dishes for seafood lovers and interesting <span class=""AS"">ways</span> of preparing them.","its a little out of the <span class=""AS"">way</span> if you don't live in the neighborhood, but definitely worth the trip from wherever you are.","I love this cozy around the <span class=""AS"">way</span> Rest.","But the pizza is <span class=""AS"">way</span> to expensive.","I just had my first visit to this place and can't wait to go back and slowly work my <span class=""AS"">way</span> through the menu.","The sandwiches are dry, tasteless and <span class=""AS"">way</span> overpriced.","The tables are crammed <span class=""AS"">way</span> too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.","I guess the <span class=""AS"">way</span> my friends"
delivery,,,,"good - <span class=""AS"">delivery</span> time was a little slow, but for the way this pizza tastes, I'm willing to overlook it.","I also ordered for <span class=""AS"">delivery</span> and the restaurant forgot half the order.","There restaurant is very casual, but perfect for lunch, and their <span class=""AS"">delivery</span> service is always very fast.","I have to say they have one of the fastest <span class=""AS"">delivery</span> times in the city.","proceed to use the piece in the <span class=""AS"">delivery</span> order he was preparing."
places,place,,,"This <span class=""AS"">place</span> is so much fun.","This <span class=""AS"">place</span> started off a little iffy, but is now one of my favorite indian restaurants in NYC (and I'm indian, so I should know).","and I cannot recommend a better Shanghai <span class=""AS"">place</span> in New York.","It's a great <span class=""AS"">place</span> to order from or sit-in.","To the owners; good job guys, this <span class=""AS"">place</span> is a keeper!","We have been to this <span class=""AS"">place</span> many times, and always have great food, wine, and service.","If you can handle that, it's a great <span class=""AS"">place</span> for a business dinner, fun with friends or simply a table for 2.","A million better <span class=""AS"">places</span> to go in the city.","I lived on 50th st, and wanted Indian one day so decided to check this <span class=""AS"">place</span> out.","it's the only <span class=""AS"">place</span> you can get yummy authentic japanese comfort food.","it's a perfect <span class=""AS"">place</span> to have a amanzing indian food.","It's true, this <span class=""AS"">place</span> is not cheap.","Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the <span class=""AS"">place</span> it O trip ended, because it was so great!","It was the first <span class=""AS"">place</span> we ate on our first trip to New York, and it will be the last place we stop as we head out of town on our next trip to New York.","great <span class=""AS"">place</span> to go for a drink too because they have 100 kinds of beer.","This is a wonderful <span class=""AS"">place</span> on all stand points especially value ofr money.","The <span class=""AS"">place</span> is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.","While this is a pretty <span class=""AS"">place</span> in that overly cute French way, the food was insultingly horrible.","Cool atmosphere, the fire <span class=""AS"">place</span> in the back really ads to it but needs a bit more heat throughout on a cold night.","It's a shame that a nice, convenient <span class=""AS"">place</span> like the Pink Pony can be so ruined by lousy service."
entree,,,,"The main <span class=""AS"">entree</span> was also very good.","The <span class=""AS"">entree</span> was bland and small, dessert was not inspired.","My <span class=""AS"">entree</span> of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.","Three page wine menu, one page <span class=""AS"">entree</span> and horedevous.","The comments about fried foods is correct (below) but the other dishes, including the lamb <span class=""AS"">entree</span> and many of the salads (avocado shrimp) were quite good.","The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and <span class=""AS"">entree</span> per person) for two people.","Here the hot dog is elevated to the level of a real <span class=""AS"">entree</span> with numerous variations available.","From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine <span class=""AS"">entree</span> to a dessert that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing.","The secret is the lunch menu which offers a complimentary appetizer with every <span class=""AS"">entree</span> ordered.","The family seafood <span class=""AS"">entree</span> was very good.","Rather than eating the meat <span class=""AS"">entree</span> being offered, I requested a vegetarian dish.","The prices are about $9 for an <span class=""AS"">entree</span> for dinner and even less for lunch.","While the $20 <span class=""AS"">entree</span> range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.","The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and <span class=""AS"">entree</span> per person) for two people.","The <span class=""AS"">entree</span> was bland and small, dessert was not inspired.","The one vegetarian <span class=""AS"">entree</span> (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables."
amount,,,,"Would not return for the <span class=""AS"">amount</span> we paid.","Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the <span class=""AS"">amount</span> of food you get for FOUR DOLLARS.","This place has good potential, but needs a significant <span class=""AS"">amount</span> of work before we can justify spending that much money on indian food you can get everywhere else.","The pesto pizza was excellent, thin-crust pizza with a nice <span class=""AS"">amount</span> of spicy Italian cheese that I'd never heard of before.","The pesto pizza was excellent, thin-crust pizza with a nice <span class=""AS"">amount</span> of spicy Italian cheese that I'd never heard of before.","You could get a much better dining experience for the same <span class=""AS"">amount</span> of money in a lot of other French Bistros.","Which impresses me for having such a large <span class=""AS"">amount</span> of people to serve."
restaurants,restaurant,,,"This place started off a little iffy, but is now one of my favorite indian <span class=""AS"">restaurants</span> in NYC (and I'm indian, so I should know).","We visited Orsay during NY <span class=""AS"">Restaurant</span> Week and tried their $35 menu.","Thalia is a beautiful <span class=""AS"">restaurant</span> with beautiful people serving you, but the food doesn't quite match up.","the quality of food in most moderately priced <span class=""AS"">restaurants</span> is mediocre this was slightly more pricey and well worth it.","Sapphire is the only Indian <span class=""AS"">restaurant</span> I go to when I'm in NYC.","but it seems as if we visited two different <span class=""AS"">restaurants</span> because my friends and I all enjoy Mizu very much...","I also ordered for delivery and the <span class=""AS"">restaurant</span> forgot half the order.","Not one to jump to complaints (hence my lack of previous online reviewing), I called the <span class=""AS"">restaurant</span> to give them a heads up that their kitchen might want to check the cleanliness of their prep stations.","I think the <span class=""AS"">restaurant</span> was too loud (when full) to be romantic.","The <span class=""AS"">restaurant</span> is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal","The <span class=""AS"">restaurant</span> is cute but not upscale.","Good food at the <span class=""AS"">restaurant</span> (a bit expensive, but great if you want to impress your date).","I find that most Kosher <span class=""AS"">restaurants</span> are average to good, but this has been the best I've eaten so far.","Ive been to many Thai <span class=""AS"">restaurants</span> in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","I recently went to this <span class=""AS"">restaurant</span> with some co-workers for lunch and had an amazing time.","Nice <span class=""AS"">restaurant</span> overall, with classic upscale Italian decor.","All in all, this midtown gem instantly became one of my favorite sushi <span class=""AS"">restaurants</span> in the city.","The service was poor, <span class=""AS"">restaurant</span> poorly lit, staff not very attentive","Anyone who ever dined at a thai <span class=""AS"">restaurant</span> is in for a huge disappointment.","Ive been to many Thai <span class=""AS"">restaurants</span> in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course)."
nyc,,,,"This place started off a little iffy, but is now one of my favorite indian restaurants in <span class=""AS"">NYC</span> (and I'm indian, so I should know).","I have been in <span class=""AS"">NYC</span> for over 10 years and could not find this delicacy east of the Hudson .","If you are in search of the most authentic <span class=""AS"">NYC</span> deli experience look no further than the famous and historic Katz's Deli down on the Lower East Side.","Unlike other places in <span class=""AS"">NYC</span> where the sandwiches you want only come as a triple-decker, here you can get what you want in a reasonably-sized portion (and price).","I have eaten at many pizza places around <span class=""AS"">NYC</span> and this is hands down the worst.","It is so easy to get a reservation at a top place in <span class=""AS"">NYC</span> with a week's notice.","I take all my <span class=""AS"">NYC</span> guests to VT's.","I only tried a simple dish of spinach ravioli in a light oil and garlic sauce, but it actually faired better than most <span class=""AS"">NYC</span> Italian joints I've tried similar dishes at.","my wife and i have been going to <span class=""AS"">nyc</span> for years and wouldn't miss roxy,s food is expensive","Pizza - the only pizza in <span class=""AS"">NYC</span> that should not have additional toppings - the crust tastes like the best, freshly baked bread!","Amma has the worst value for money I have experienced in <span class=""AS"">NYC</span> over the past 2 years.","Can’t believe how an expensive <span class=""AS"">NYC</span> restaurant can be so disrespectful to its clients.","Now we moved out of the state and every visit to <span class=""AS"">NYC</span> includes a stop here.","My wife and I were in <span class=""AS"">NYC</span> celebrating our 30th anniversary.","And I've been to many <span class=""AS"">NYC</span> delis.","For many people, this may not seem like Aunthentic Thai food because most places in <span class=""AS"">NYC</span> arent quite authentic.","I know this is the case in many <span class=""AS"">nyc</span> eateries, but here, they really cram you in to the point where it's borderline uncomfortable.","A quintessential slice of <span class=""AS"">NYC</span> pizza.","I have eaten at many pizza places around <span class=""AS"">NYC</span> and this is hands down the worst.","I have eaten at some of the 'best' sushi joints in <span class=""AS"">NYC</span> (Nobu, Bond Street, JewelBako, etc) and Yamato is my favorite."
